# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.28000000e-02
# CofR          : (5.00000000e-01 5.00000000e-02 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
420             	-4.27600981e+07	-2.33571680e+09	1.35368293e+08	2.49240485e+07	1.10444245e+08
422             	7.49057764e+07	2.43727177e+09	-1.17456396e+08	1.61775784e+07	-1.33633975e+08
424             	-1.17356429e+08	-2.76003320e+09	4.95432207e+07	-9.25848188e+07	1.42128040e+08
426             	1.95466275e+08	2.47027645e+09	-1.84198957e+08	1.03366797e+08	-2.87565754e+08
428             	-2.10351616e+08	-3.09285592e+09	1.56588132e+08	-1.32057549e+08	2.88645682e+08
430             	1.67825635e+08	2.44604924e+09	2.87691519e+06	1.69264093e+08	-1.66387177e+08
432             	-2.15769126e+08	-2.71464897e+09	-1.39064882e+08	-2.85301567e+08	1.46236685e+08
434             	5.73698273e+07	2.71215194e+09	1.36406885e+08	1.25573270e+08	1.08336151e+07
436             	-5.16149028e+07	-3.26652700e+09	-1.61197096e+07	-5.96747576e+07	4.35550480e+07
438             	1.10937886e+08	3.69879304e+09	8.51790833e+07	1.53527428e+08	-6.83483447e+07
440             	-2.39142491e+08	-4.14169138e+09	-1.43156860e+08	-3.10720921e+08	1.67564061e+08
442             	1.01558106e+08	3.87292789e+09	4.89315242e+06	1.04004682e+08	-9.91115296e+07
444             	-1.65022902e+08	-4.80799894e+09	-1.29460031e+08	-2.29752918e+08	1.00292887e+08
446             	3.94325657e+08	4.15573936e+09	3.35678772e+08	5.62165043e+08	-2.26486271e+08
448             	-4.53391806e+08	-4.96988169e+09	-2.84969870e+08	-5.95876741e+08	3.10906871e+08
450             	4.23999532e+08	4.64601962e+09	3.46998490e+08	5.97498777e+08	-2.50500287e+08
452             	-2.91905283e+08	-5.28718688e+09	-1.91041209e+08	-3.87425887e+08	1.96384678e+08
454             	3.17290391e+08	5.26267979e+09	-1.59886415e+08	2.37347184e+08	-3.97233599e+08
456             	-3.84480267e+08	-6.12046788e+09	8.90602664e+07	-3.39950133e+08	4.29010400e+08
458             	2.87313514e+08	6.14183365e+09	-1.70956069e+08	2.01835480e+08	-3.72791549e+08
460             	-5.66014992e+08	-7.09001269e+09	-2.39804037e+08	-6.85917011e+08	4.46112974e+08
462             	7.88519490e+08	7.49858345e+09	9.08881451e+08	1.24296022e+09	-3.34078764e+08
464             	-5.39993124e+08	-8.28067932e+09	-6.29794515e+08	-8.54890382e+08	2.25095867e+08
466             	3.75401709e+08	7.09499171e+09	2.16072085e+08	4.83437751e+08	-2.67365666e+08
468             	-2.89823897e+08	-8.21159707e+09	-2.23276030e+08	-4.01461912e+08	1.78185882e+08
470             	3.31760090e+07	6.90314646e+09	1.42495300e+07	4.03007740e+07	-2.60512441e+07
472             	-2.29588482e+08	-8.74465414e+09	8.01034775e+07	-1.89536743e+08	2.69640221e+08
474             	9.60106371e+07	7.42977755e+09	-3.49518044e+08	-7.87483848e+07	-2.70769659e+08
476             	-2.70778662e+08	-9.01520514e+09	5.66566937e+08	1.25048068e+07	5.54062130e+08
478             	4.72470314e+08	9.12210727e+09	-4.80844114e+08	2.32048257e+08	-7.12892372e+08
480             	-6.38015053e+08	-1.13085823e+10	5.04460146e+08	-3.85784980e+08	8.90245126e+08
482             	8.78761677e+08	1.15167085e+10	-2.56412264e+08	7.50555545e+08	-1.00696781e+09
484             	-7.09403673e+08	-1.22760561e+10	2.62486969e+08	-5.78160188e+08	8.40647157e+08
486             	8.61997698e+08	9.17690122e+09	2.62259114e+08	9.93127255e+08	-7.30868141e+08
488             	-8.92595391e+08	-1.22561152e+10	1.16520032e+08	-8.34335375e+08	9.50855407e+08
490             	8.54916897e+08	1.07380509e+10	9.80758632e+08	1.34529621e+09	-3.64537582e+08
492             	-7.06696534e+08	-1.33821000e+10	-7.35843672e+08	-1.07461837e+09	3.38774698e+08
494             	5.83563059e+08	1.35127241e+10	5.02910736e+08	8.35018427e+08	-3.32107691e+08
496             	-5.37248690e+08	-1.56522869e+10	-4.79292174e+08	-7.76894777e+08	2.97602603e+08
498             	5.96410000e+08	1.57441443e+10	3.32859686e+08	7.62839843e+08	-4.29980157e+08
